,config_id,idx,origin_Li,origin_EC,origin_DMC,origin_VC,origin_PF6,origin_CO3_minus2,origin_Ethylene,origin_oEC_radical_minus1_minus2,rxn_EC,rxn_DMC,rxn_VC,rxn_PF6,rxn_CO3_minus2,rxn_Ethylene,rxn_oEC_radical_minus1_minus2,rdc_EC,rdc_DMC,rdc_VC,rdc_PF6,rdc_CO3_minus2,rdc_Ethylene,rdc_oEC_radical_minus1_minus2,rxn,rdc,rxn_wt_pid,rdc_wt_pid,rxn_changed_bonds
49,0x6e7ec157a93e4f73,-1,2,10,10,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2+OC2H4'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'},set(),"{((('C263', 'O265'), (1.3248, 2.77), (('C263@oEC_radical_minus1_minus2_0', 'O265@oEC_radical_minus1_minus2_0'), ('C263@frame(-1)-sg0-CO2', 'O265@frame(-1)-sg1-OC2H4'))), (('C266', 'H271'), (1.0874, 2.0914), (('C266@oEC_radical_minus1_minus2_0', 'H271@oEC_radical_minus1_minus2_0'), ('C266@frame(-1)-sg1-OC2H4', 'H271@frame(-1)-sg1-OC2H4'))), (('C267', 'H271'), (2.1123, 1.1081), (('C267@oEC_radical_minus1_minus2_0', 'H271@oEC_radical_minus1_minus2_0'), ('C267@frame(-1)-sg1-OC2H4', 'H271@frame(-1)-sg1-OC2H4'))))}"
50,0x6ec89b1dc08a11e7,-1,3,10,10,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2+OC2H4'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'},set(),"{((('C258', 'O260'), (1.3204, 3.4738), (('C258@oEC_radical_minus1_minus2_0', 'O260@oEC_radical_minus1_minus2_0'), ('C258@frame(-1)-sg0-CO2', 'O260@frame(-1)-sg1-OC2H4'))), (('O260', 'C262'), (2.3676, 1.4531), (('O260@oEC_radical_minus1_minus2_0', 'C262@oEC_radical_minus1_minus2_0'), ('O260@frame(-1)-sg1-OC2H4', 'C262@frame(-1)-sg1-OC2H4'))))}"
51,0x74232ebc99649573,-1,2,10,10,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2+OC2H4'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'},set(),"{((('C263', 'O265'), (1.3263, 2.5736), (('C263@oEC_radical_minus1_minus2_0', 'O265@oEC_radical_minus1_minus2_0'), ('C263@frame(-1)-sg0-CO2', 'O265@frame(-1)-sg1-OC2H4'))), (('C266', 'H272'), (1.0872, 2.1131), (('C266@oEC_radical_minus1_minus2_0', 'H272@oEC_radical_minus1_minus2_0'), ('C266@frame(-1)-sg1-OC2H4', 'H272@frame(-1)-sg1-OC2H4'))), (('C267', 'H272'), (2.1436, 1.0933), (('C267@oEC_radical_minus1_minus2_0', 'H272@oEC_radical_minus1_minus2_0'), ('C267@frame(-1)-sg1-OC2H4', 'H272@frame(-1)-sg1-OC2H4'))))}"
52,0x79837895e09c46e,-1,4,10,10,2,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2C2H2OH2'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2C2H2OH2'},set(),"{((('C270', 'H275'), (1.0862, 2.1563), (('C270@oEC_radical_minus1_minus2_0', 'H275@oEC_radical_minus1_minus2_0'), ('C270@frame(-1)-sg0-CO2C2H2OH2', 'H275@frame(-1)-sg0-CO2C2H2OH2'))), (('O268', 'H275'), (2.9952, 0.991), (('O268@oEC_radical_minus1_minus2_0', 'H275@oEC_radical_minus1_minus2_0'), ('O268@frame(-1)-sg0-CO2C2H2OH2', 'H275@frame(-1)-sg0-CO2C2H2OH2'))))}"
53,0x79e3cd9269f9998,-1,3,10,10,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2+OC2H4'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'},set(),"{((('C258', 'O260'), (1.3282, 3.8761), (('C258@oEC_radical_minus1_minus2_0', 'O260@oEC_radical_minus1_minus2_0'), ('C258@frame(-1)-sg0-CO2', 'O260@frame(-1)-sg1-OC2H4'))), (('O260', 'C262'), (2.3665, 1.4436), (('O260@oEC_radical_minus1_minus2_0', 'C262@oEC_radical_minus1_minus2_0'), ('O260@frame(-1)-sg1-OC2H4', 'C262@frame(-1)-sg1-OC2H4'))))}"
54,0x7a081dfa838a73d1,-1,1,10,10,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2+OC2H4'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'},set(),"{((('C246', 'O248'), (1.3296, 3.1446), (('C246@oEC_radical_minus1_minus2_0', 'O248@oEC_radical_minus1_minus2_0'), ('C246@frame(-1)-sg0-CO2', 'O248@frame(-1)-sg1-OC2H4'))), (('O248', 'C250'), (2.3969, 1.4662), (('O248@oEC_radical_minus1_minus2_0', 'C250@oEC_radical_minus1_minus2_0'), ('O248@frame(-1)-sg1-OC2H4', 'C250@frame(-1)-sg1-OC2H4'))))}"
55,0x7a9358ef00736d88,-1,4,10,10,3,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,{'EC_5+oEC_radical_minus1_minus2_0 => C3O3H4CO2C2H2OH2'},set(),{'EC_5+oEC_radical_minus1_minus2_0 => sg0-C3O3H4CO2C2H2OH2'},set(),"{((('O59', 'C269'), (20.275, 1.4955), (('O59@EC_5', 'C269@oEC_radical_minus1_minus2_0'), ('O59@frame(-1)-sg0-C3O3H4CO2C2H2OH2', 'C269@frame(-1)-sg0-C3O3H4CO2C2H2OH2'))),)}"
56,0x7bcf3aa4d6855898,-1,4,10,10,2,1,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0+oEC_radical_minus1_minus2_1 => CO2+OC2H4CO2C2H2OH2'},set(),{'oEC_radical_minus1_minus2_0+oEC_radical_minus1_minus2_1 => sg0-CO2+sg1-OC2H4CO2C2H2OH2'},set(),"{((('C267', 'O269'), (1.3174, 2.7439), (('C267@oEC_radical_minus1_minus2_0', 'O269@oEC_radical_minus1_minus2_0'), ('C267@frame(-1)-sg0-CO2', 'O269@frame(-1)-sg1-OC2H4CO2C2H2OH2'))), (('C271', 'C281'), (11.4029, 1.5285), (('C271@oEC_radical_minus1_minus2_0', 'C281@oEC_radical_minus1_minus2_1'), ('C271@frame(-1)-sg1-OC2H4CO2C2H2OH2', 'C281@frame(-1)-sg1-OC2H4CO2C2H2OH2'))))}"
57,0x8742a78fbd85a4a,-1,3,10,10,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,{'CO3_minus2_0+oEC_radical_minus1_minus2_0 => CO3CO2C2H2OH2'},set(),{'CO3_minus2_0+oEC_radical_minus1_minus2_0 => sg0-CO3CO2C2H2OH2'},set(),"{((('O248', 'C260'), (18.9073, 1.4635), (('O248@CO3_minus2_0', 'C260@oEC_radical_minus1_minus2_0'), ('O248@frame(-1)-sg0-CO3CO2C2H2OH2', 'C260@frame(-1)-sg0-CO3CO2C2H2OH2'))),)}"
58,0x973c821f1240a74,-1,3,10,10,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,set(),set(),set(),set(),set()
59,0xaae1cc2a0489f7c,-1,4,10,10,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2C2H2OH2'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2C2H2OH2'},set(),"{((('C262', 'H267'), (1.0878, 2.1469), (('C262@oEC_radical_minus1_minus2_0', 'H267@oEC_radical_minus1_minus2_0'), ('C262@frame(-1)-sg0-CO2C2H2OH2', 'H267@frame(-1)-sg0-CO2C2H2OH2'))), (('O260', 'H267'), (3.172, 0.9899), (('O260@oEC_radical_minus1_minus2_0', 'H267@oEC_radical_minus1_minus2_0'), ('O260@frame(-1)-sg0-CO2C2H2OH2', 'H267@frame(-1)-sg0-CO2C2H2OH2'))))}"
60,0xd69bbedd96faa4a,-1,2,10,10,2,1,1,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,"{'DMC_0+DMC_6+oEC_radical_minus1_minus2_0 => C3O3H5C3O3H6+HCO2C2H2OH2', 'oEC_radical_minus1_minus2_1 => CO2+OC2H4'}",set(),"{'DMC_0+DMC_6+oEC_radical_minus1_minus2_0 => sg0-C3O3H5C3O3H6+sg1-HCO2C2H2OH2', 'oEC_radical_minus1_minus2_1 => sg2-CO2+sg3-OC2H4'}",set(),"{((('C265', 'O267'), (1.3366, 2.7307), (('C265@oEC_radical_minus1_minus2_1', 'O267@oEC_radical_minus1_minus2_1'), ('C265@frame(-1)-sg2-CO2', 'O267@frame(-1)-sg3-OC2H4'))), (('C268', 'H274'), (1.0898, 2.1097), (('C268@oEC_radical_minus1_minus2_1', 'H274@oEC_radical_minus1_minus2_1'), ('C268@frame(-1)-sg3-OC2H4', 'H274@frame(-1)-sg3-OC2H4'))), (('C269', 'H274'), (2.1425, 1.1046), (('C269@oEC_radical_minus1_minus2_1', 'H274@oEC_radical_minus1_minus2_1'), ('C269@frame(-1)-sg3-OC2H4', 'H274@frame(-1)-sg3-OC2H4')))), ((('C104', 'H113'), (1.0892, 2.7465), (('C104@DMC_0', 'H113@DMC_0'), ('C104@frame(-1)-sg0-C3O3H5C3O3H6', 'H113@frame(-1)-sg1-HCO2C2H2OH2'))), (('C104', 'O177'), (3.0506, 1.4754), (('C104@DMC_0', 'O177@DMC_6'), ('C104@frame(-1)-sg0-C3O3H5C3O3H6', 'O177@frame(-1)-sg0-C3O3H5C3O3H6'))), (('H113', 'C259'), (11.6913, 1.0962), (('H113@DMC_0', 'C259@oEC_radical_minus1_minus2_0'), ('H113@frame(-1)-sg1-HCO2C2H2OH2', 'C259@frame(-1)-sg1-HCO2C2H2OH2'))))}"
61,0xe1233d722376f63,-1,3,10,10,2,1,2,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,"{'oEC_radical_minus1_minus2_1 => CO2+OC2H4', 'CO3_minus2_1+oEC_radical_minus1_minus2_0 => CO3CO2C2H2OH2'}",set(),"{'CO3_minus2_1+oEC_radical_minus1_minus2_0 => sg0-CO3CO2C2H2OH2', 'oEC_radical_minus1_minus2_1 => sg1-CO2+sg2-OC2H4'}",set(),"{((('O251', 'C270'), (10.5728, 1.4487), (('O251@CO3_minus2_1', 'C270@oEC_radical_minus1_minus2_0'), ('O251@frame(-1)-sg0-CO3CO2C2H2OH2', 'C270@frame(-1)-sg0-CO3CO2C2H2OH2'))),), ((('C276', 'O278'), (1.3351, 2.7853), (('C276@oEC_radical_minus1_minus2_1', 'O278@oEC_radical_minus1_minus2_1'), ('C276@frame(-1)-sg1-CO2', 'O278@frame(-1)-sg2-OC2H4'))), (('C279', 'H285'), (1.0859, 2.1213), (('C279@oEC_radical_minus1_minus2_1', 'H285@oEC_radical_minus1_minus2_1'), ('C279@frame(-1)-sg2-OC2H4', 'H285@frame(-1)-sg2-OC2H4'))), (('C280', 'H285'), (2.1242, 1.1065), (('C280@oEC_radical_minus1_minus2_1', 'H285@oEC_radical_minus1_minus2_1'), ('C280@frame(-1)-sg2-OC2H4', 'H285@frame(-1)-sg2-OC2H4'))))}"
62,0xe9048c28aebf149,-1,3,10,10,3,1,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"{'oEC_radical_minus1_minus2_0 => CO2+OC2H4', 'oEC_radical_minus1_minus2_1 => CO2+OC2H4'}",set(),"{'oEC_radical_minus1_minus2_1 => sg2-CO2+sg3-OC2H4', 'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'}",set(),"{((('C274', 'O276'), (1.3348, 2.5999), (('C274@oEC_radical_minus1_minus2_1', 'O276@oEC_radical_minus1_minus2_1'), ('C274@frame(-1)-sg2-CO2', 'O276@frame(-1)-sg3-OC2H4'))), (('C277', 'H283'), (1.0867, 2.0798), (('C277@oEC_radical_minus1_minus2_1', 'H283@oEC_radical_minus1_minus2_1'), ('C277@frame(-1)-sg3-OC2H4', 'H283@frame(-1)-sg3-OC2H4'))), (('C278', 'H283'), (2.1534, 1.1087), (('C278@oEC_radical_minus1_minus2_1', 'H283@oEC_radical_minus1_minus2_1'), ('C278@frame(-1)-sg3-OC2H4', 'H283@frame(-1)-sg3-OC2H4')))), ((('C264', 'O266'), (1.3385, 3.5654), (('C264@oEC_radical_minus1_minus2_0', 'O266@oEC_radical_minus1_minus2_0'), ('C264@frame(-1)-sg0-CO2', 'O266@frame(-1)-sg1-OC2H4'))), (('C267', 'H272'), (1.0857, 2.0934), (('C267@oEC_radical_minus1_minus2_0', 'H272@oEC_radical_minus1_minus2_0'), ('C267@frame(-1)-sg1-OC2H4', 'H272@frame(-1)-sg1-OC2H4'))), (('C268', 'H272'), (2.1037, 1.1045), (('C268@oEC_radical_minus1_minus2_0', 'H272@oEC_radical_minus1_minus2_0'), ('C268@frame(-1)-sg1-OC2H4', 'H272@frame(-1)-sg1-OC2H4'))))}"
